SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,ACCESS,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,"Pct of Students Making Sufficent 
Annual Progress",,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400048,LEARN - EXCEL,Charter,3.9,Level 1,Not Applicable,76,100,4,17.5,60,100,3,17.5,59.5,100,3,10,78,100,5,1.25,.,.,.,.,.,.,.,.,29,100,2,1.25,58,100,4,1.25,.,.,.,.,.,.,.,.,23,100,2,1.25,52,100,3,5,60,100,3,5,31,100,2,2.5,51,100,3,2.5,.,.,.,.,96.4,5,20,Well Organized,5,10,100,5,5,
400049,LEGACY,Charter,3.5,Level 1,Not Applicable,70,100,4,17.5,43,100,3,17.5,55,100,3,10,68,100,4,1.25,.,.,.,.,.,.,.,.,50,100,4,1.25,45,100,3,1.25,.,.,.,.,.,.,.,.,40,100,3,1.25,45,100,3,5,38,100,2,5,20,99,2,2.5,23,99,2,2.5,.,.,.,.,95.6,4,20,Organized,4,10,99.6,5,5,
400050,NAMASTE,Charter,2.7,Level 2,Not Applicable,54,99,3,13.75,24,100,2,13.75,47.8,100,2,10,.,.,.,.,50,99,4,1.25,46,100,3,1.25,19,100,2,1.25,.,.,.,.,27,100,2,1.25,34,100,3,1.25,1,100,1,1.25,42,99,3,5,22,100,2,5,18,100,2,2.5,11,100,2,2.5,29.8,100,2,5,95.6,4,20,Not Yet Organized,1,10,100,5,5,
400060,AHS - PASSAGES,Charter,3,Level 2+,Not Applicable,70,99,4,15,24,100,2,13.75,55.4,100,3,10,52,99,4,1.25,75,100,5,1.25,.,.,.,.,.,.,.,.,20,100,2,1.25,24,100,2,1.25,11,100,2,1.25,.,.,.,.,80,99,4,5,57,100,3,5,97,100,5,2.5,98,100,5,2.5,30.7,98,2,5,94.8,3,20,Not Yet Organized,1,10,99.5,5,5,
400068,PLATO,Contract,3.2,Level 2+,Provisional Support,32,98,2,18.75,48,100,3,18.75,44.4,99,2,10,32,98,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,47,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,12,98,2,7.5,12,100,2,7.5,.,.,.,.,.,.,.,.,.,.,.,.,97.4,5,20,Organized,4,10,100,5,5,
400069,POLARIS,Charter,2.9,Level 2,Not Applicable,9,97,1,17.5,32,97,2,17.5,43,97,2,10,9,98,1,1.25,.,.,.,.,.,.,.,.,14,100,2,1.25,35,98,3,1.25,.,.,.,.,.,.,.,.,57,100,4,1.25,18,97,2,5,32,97,2,5,2,95,1,2.5,5,95,1,2.5,.,.,.,.,96.7,5,20,Well Organized,5,10,99.7,5,5,
400071,PROVIDENCE ENGLEWOOD,Charter,3.3,Level 2+,Not Applicable,82,100,4,17.5,77,100,4,17.5,62.4,100,4,10,81,100,5,1.25,.,.,.,.,.,.,.,.,42,100,3,1.25,76,100,5,1.25,.,.,.,.,.,.,.,.,75,100,5,1.25,54,100,3,5,41,100,3,5,26,100,2,2.5,21,100,2,2.5,.,.,.,.,93.5,2,20,Partially Organized,2,10,100,5,5,
400075,U OF C - DONOGHUE,Charter,2.9,Level 2,Not Applicable,22,100,2,18.75,28,100,2,18.75,45.7,100,2,10,21,100,2,1.25,.,.,.,.,.,.,.,.,.,.,.,.,28,100,2,1.25,.,.,.,.,.,.,.,.,.,.,.,.,37,100,2,5,43,100,3,5,45,100,3,2.5,35,100,2,2.5,.,.,.,.,95.5,4,20,Well Organized,5,10,99.9,5,5,
400076,U OF C - NKO,Charter,3.5,Level 1,Not Applicable,60,100,3,18.75,50,100,3,18.75,51.2,100,3,10,66,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,52,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,68,100,3,5,58,100,3,5,79,100,4,2.5,73,100,4,2.5,.,.,.,.,96.1,5,20,Partially Organized,2,10,99.9,5,5,
400078,U OF C - WOODSON,Charter,3.9,Level 1,Not Applicable,88,100,4,18.75,80,100,4,18.75,64.6,100,4,10,88,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,80,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,78,100,4,7.5,53,100,3,7.5,.,.,.,.,.,.,.,.,.,.,.,.,95.7,4,20,Moderately Organized,3,10,99.8,5,5,
